Operating months,Address, Registered capital ,Operation,Private,Automatic bidding,Business Permits,Company license,Car loan,Personal credit loan,Corporate credit,Other loans,Multiple loans,Borrowing fee,Stored fee,Withdrawal fee,Third party guarantee,Bank guarantee,Risk reserve,Platform advance payment,Financing guarantee,Other guarantee,No guarantee,Bank deposit,Join the association,Accepting VC,Third party credit,Equity listing,No supervised feature,interest rate
157,1,12367.00 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10
133,2,3000.00 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10
127,1,10000.00 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10
126,1,5000.00 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10
124,3,10000.00 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10
121,1,3000.00 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10
116,1,6000.00 ,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,7.6
106,1,30308.00 ,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,14
106,2,5000.00 ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14
104,1,30308.00 ,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,17.8
102,1,30308.00 ,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14
101,1,1000.00 ,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18
